var_Group;var_subG;var_Name;var_Source;var_Type;var_Key;var_Label;var_Short;var_Unit;Measured_by;max_repl;var_Complete;var_Comment;var_Method
chemical;total;Cd_total;orig;N;3;Cd total;Cd;mg/kg abs DM;ILVO;1;;;CMA 2/IV/19 - ICP-OES (ADS: absoluut droge stof)
chemical;total;Cr_total;orig;N;3;Cr total;Cr;mg/kg abs DM;ILVO;1;;;
chemical;total;Cu_total;orig;N;3;Cu total;Cu;mg/kg abs DM;ILVO;1;;;
chemical;total;Pb_total;orig;N;3;Pb total;Pb;mg/kg abs DM;ILVO;1;;;
chemical;total;Ni_total;orig;N;3;Ni total;Ni;mg/kg abs DM;ILVO;1;;;
chemical;total;Zn_total;orig;N;3;Zn total;Zn;mg/kg abs DM;ILVO;1;;;
chemical;total;Mn_total;orig;N;2;Mn total;Mn;mg/kg abs DM;ILVO;1;;;
chemical;total;As_total;orig;N;3;As total;As;mg/kg abs DM;ILVO;1;;;
chemical;total;P_total;orig;N;4;P total;P;g/kg abs DM;ILVO;1;;;
chemical;total;K_total;orig;N;4;K total;K;g/kg abs DM;ILVO;1;;;
chemical;total;Mg_total;orig;N;4;Mg total;Mg;g/kg abs DM;ILVO;1;;;
chemical;total;Ca_total;orig;N;3;Ca total;Ca;g/kg abs DM;ILVO;1;;;
chemical;total;Na_total;orig;N;3;Na total;Na;g/kg abs DM;ILVO;1;;;
chemical;total;Fe_total;orig;N;3;Fe total;Fe;g/kg abs DM;ILVO;1;;;
chemical;total;Al_total;orig;N;3;Al total;Al;g/kg abs DM;ILVO;1;;;
chemical;CEC;Mn_CEC;orig;N;2;Mn CEC;Mn_CEC;cmolc/kg abs DM;ILVO;1;;;potential CEC at pH 7 with 1M ammonium acetate, without preceding wash
chemical;CEC;Mg_CEC;orig;N;2;Mg CEC;Mg_CEC;cmolc/kg abs DM;ILVO;1;;;potential CEC at pH 7 with 1M ammonium acetate, without preceding wash
chemical;CEC;Ca_CEC;orig;N;2;Ca CEC;Ca_CEC;cmolc/kg abs DM;ILVO;1;;;potential CEC at pH 7 with 1M ammonium acetate, without preceding wash
chemical;CEC;K_CEC;orig;N;2;K CEC;K_CEC;cmolc/kg abs DM;ILVO;1;;;potential CEC at pH 7 with 1M ammonium acetate, without preceding wash
chemical;CEC;Na_CEC;orig;N;2;Na CEC;Na_CEC;cmolc/kg abs DM;ILVO;1;;;potential CEC at pH 7 with 1M ammonium acetate, without preceding wash
chemical;CEC;CEC_total;orig;N;5;CEC total;CEC_total;cmolc/kg abs DM;ILVO;1;;;total potential CEC at pH 7 with 1M ammonium acetate
chemical;CEC;CEC_diff;calc;N;3;sum cation-CEC - total CEC;CEC_diff;cmolc/kg abs DM;ILVO;1;;"Sum of Mn, Mg, Ca, K and Na CEC minus total CEC
sum_Cation_CEC_minus_total_CEC";CEC at pH 7 with 1M ammonium acetate
biological;PLFA;total_bact_nspec;orig;N;3;Total nonspecific bacteria;bact_nsp;nmol/g DS;ILVO;1;;;PLFA method 1b (Bligh & Dyer)
biological;PLFA;total_bact_gpos;orig;N;3;Total gram+ bacteria;bact_gpos;nmol/g DS;ILVO;1;;;PLFA method 1b (Bligh & Dyer)
biological;PLFA;total_Actinomycetes;orig;N;3;Total actinomycetes;bact_actino;nmol/g DS;ILVO;1;;;PLFA method 1b (Bligh & Dyer)
biological;PLFA;total_bact_gneg;orig;N;3;Total gram- bacteria;bact_gneg;nmol/g DS;ILVO;1;;;PLFA method 1b (Bligh & Dyer)
biological;PLFA;total_AM_fungi;orig;N;3;Total AM fungi;fungi_AM;nmol/g DS;ILVO;1;;Mycorrhizae. Not developed in compost, from feedstock.;PLFA method 1b (Bligh & Dyer)
biological;PLFA;total_Fungi;orig;N;3;Total fungi;fungi_tot;nmol/g DS;ILVO;1;;;PLFA method 1b (Bligh & Dyer)
biological;PLFA;total_Biomass;orig;N;5;Total biomass;biomass;nmol/g DS;ILVO;1;;sum of all measured PLFA peaks;PLFA method 1b (Bligh & Dyer)
biological;PLFA;prop_Fungi_Bact;calc;N;4;Fungi over sum fungi bact;prop_FB;-;ILVO;1;;;total fungi/som(nonspec, gram+, gram-, fungi)
biological;PLFA;ratio_Bact_Fungi;calc;N;4;Ratio bacteria fungi;ratio_BF;-;ILVO;1;;All bacteria divided by total fungi (not AM fungi);som(nonspec, gram+, gram-)/total fungi (not AM)
biological;nematodes;nem_total;orig;N;2;Total nematodes;nem_tot;-;ILVO;1;;;
biological;nematodes;nem_Simpson;orig;N;4;Simpson index (nem.);nem_Simp;-;ILVO;1;;0: infinite diversity, 1: no diversity;
biological;nematodes;nem_SW;orig;N;4;Shannon-Wiener index (nem.);nem_SW;-;ILVO;1;;Shannon(-Wiener) Index, the higher the index, the higher the diversity (>4 seldom found);
biological;nematodes;nem_Channel;orig;N;4;Channel index (nem.);nem_Channel;-;ILVO;1;;bacterivorous/fungivorous nematode groups. Higher values of CI correspond to the higher proportion of energy transformed through the slow fungal decomposition channel;
biological;nematodes;nem_Enrichment;orig;N;4;Enrichment (nem.);nem_Enrich;-;ILVO;1;;Enrichment index, based on bacterivorous and fungivorous nematode groups and gives an indication of the nutrient availability;
biological;nematodes;nem_Structure;orig;N;4;Structure (nem.);nem_Struct;-;ILVO;1;;Structural index: based on all feeding types except herbivorous group, indication of the functional complexity of the nematode community and maturity of the ecosystem;
biological;nematodes;nem_Maturity;orig;N;4;Maturity (nem.);nem_Mat;-;ILVO;1;;Compost maturity index based on 4 criteria. Here, 1 criterium (number individuals) is missing: compromised.;
physical;sieving;Part_size_31_5;orig;N;1;Part size 31.5;PS_31.5;%;JHI;1;;;
physical;sieving;Part_size_16;orig;N;1;Part size 16;PS_16;%;JHI;1;;;
physical;sieving;Part_size_12;orig;N;1;Part size 12;PS_12;%;JHI;1;;;
physical;sieving;Part_size_8;orig;N;1;Part size 8;PS_08;%;JHI;1;;;
physical;sieving;Part_size_4;orig;N;1;Part size 4;PS_04;%;JHI;1;;;
physical;sieving;Part_size_2;orig;N;1;Part size 2;PS_02;%;JHI;1;;;
physical;sieving;Part_size_1;orig;N;1;Part size 1;PS_01;%;JHI;1;;;
physical;sieving;Part_size_smaller_1;orig;N;1;Part size smaller 1;PS_00;%;JHI;1;;;
physical;basic;Bulk_dens_dry;orig;N;2;Bulk density (dry);BD;g/L  ;JHI;3;;;
physical;water_retention;WHC_com;orig;N;2;Sat water content com;WHC_c;g/g;JHI;3;;;
physical;water_retention;WHC_com_24h;orig;N;2;WHC 24h com;WHC_c24h;g/g;JHI;3;;;
physical;water_retention;WHC_com_min10kPa;orig;N;2;WHC min10kPa com;WHC_c10kPa;g/g;JHI;3;;;
physical;water_retention;WHC_soil;orig;N;2;Sat water content comsoil;WHC_s;g/g;JHI;3;;;
physical;water_retention;WHC_soil_24h;orig;N;2;WHC 24h comsoil;WHC_s24h;g/g;JHI;3;;;
physical;water_retention;WHC_soil_min10kPa;orig;N;2;WHC min10kPa comsoil;WHC_s10kPa;g/g;JHI;3;;;
