cID,ID_LAB,,Project,Origin,Farm_Com,Special,sampling_Year,Producer,Feedstock,Feedstock_grp,comp_Complete,Stones_larger_5mm,Impurities_larger_2_mm,pH_H2O,EC,NO3_N,NH4_N,NNO3_over_NNH4,OM_dry,OM_fresh,DM,Moisture,Volume_weight,OUR,Weed_seeds,Cellulose,Hemicellulose,Biodeg_pot,NDF,ADF,ADL,N_total,TC,IC,OC,C_over_N,Cd_total,Cr_total,Cu_total,Pb_total,Ni_total,Zn_total,Mn_total,As_total,P_total,K_total,Mg_total,Ca_total,Na_total,Fe_total,Al_total,Mn_CEC,Mg_CEC,Ca_CEC,K_CEC,Na_CEC,CEC_total,CEC_diff,total_bact_nspec,total_bact_gpos,total_Actinomycetes,total_bact_gneg,total_AM_fungi,total_Fungi,total_Biomass,prop_Fungi_Bact,ratio_Bact_Fungi,nem_total,nem_Simpson,nem_SW,nem_Channel,nem_Enrichment,nem_Structure,nem_Maturity,Part_size_31_5,Part_size_16,Part_size_12,Part_size_8,Part_size_4,Part_size_2,Part_size_1,Part_size_smaller_1,Bulk_dens_dry_r1,Bulk_dens_dry_r2,Bulk_dens_dry_r3,WHC_com_r1,WHC_com_r2,WHC_com_r3,WHC_com_24h_r1,WHC_com_24h_r2,WHC_com_24h_r3,WHC_com_min10kPa_r1,WHC_com_min10kPa_r2,WHC_com_min10kPa_r3,WHC_soil_r1,WHC_soil_r2,WHC_soil_r3,WHC_soil_24h_r1,WHC_soil_24h_r2,WHC_soil_24h_r3,WHC_soil_min10kPa_r1,WHC_soil_min10kPa_r2,WHC_soil_min10kPa_r3
C011,2020001184,SC_C_PCS_Zwarte Specht2019,Soilcom,Belgium,com,n,2020,Acterra,manure,manure,n,0.05,0.000,8.58,488,45.23147206,< 25.1285955879212,3.6,54.32,22.00,40.5,59.5,491.3,2.7,0,23.4,14.6,1.89,58.1,43.5,20.15,0.87,35.80,0.12,35.70,41.00,0.86,20.60,25.85,5.70,17.40,91.70,338.70,2.08,2.07,10.93,7.44,25.42,6.32,18.21,11.89,0.12,8.93,38.80,13.63,2.74,25.82,38.40,64.99,85.61,13.10,31.88,25.51,24.09,252.02,0.12,7.57,,0.30,1.54,29.00,77.45,1.14,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C012,2020006405,SC_C_PCA_IMOG2019,Soilcom,Belgium,com,n,2020,IMOG,green,green,n,0.54,0.010,8.88,1029,30.74529315,49.42597759,0.622047244,42.2,22.07,52.3,47.7,491.3,3.5,0,9.9,9.2,1.30,33.8,24.7,14.72,1.53,24.90,0.54,24.30,15.90,0.62,12.50,32.13,24.30,7.60,126.10,269.20,4.07,2.15,9.58,5.89,39.62,0.97,7.36,3.48,0.18,12.99,71.24,22.24,3.55,43.93,66.27,48.18,70.34,15.75,14.58,3.73,4.10,148.31,0.03,32.46,,0.51,1.12,94.17,40.04,0.90,2.50,0.00,0.00,0.00,3.27,11.87,20.09,23.98,40.79,261.58,,,2.76,2.83,2.70,2.60,2.83,2.70,1.19,1.19,1.13,0.78,0.79,0.82,0.76,0.79,0.82,0.53,0.49,0.53
C013,2020006406,SC_C_PSKW_IVAREM2020,Soilcom,Belgium,com,n,2020,Ivarem,green,green,n,0.41,0.080,8.81,1137,43.60183451,< 16.1488275951166,5.4,38.2,21.58,56.5,43.5,548,1.2,0,7.7,4.7,0.82,27.5,22.8,15.12,1.77,24.70,0.20,24.50,13.80,0.79,12.00,34.30,35.10,5.00,134.60,193.30,4.06,2.43,13.44,3.93,22.89,0.51,8.13,2.98,0.09,12.50,50.74,27.14,2.09,40.95,51.61,26.78,51.20,11.41,6.65,7.70,0.20,100.17,0.00,423.15,,0.42,1.47,94.55,45.43,1.65,2.77,0.00,0.00,0.00,1.39,8.39,11.85,16.56,61.82,390.23,,,1.70,1.69,1.78,1.61,1.69,1.78,0.67,0.67,0.69,0.71,0.69,0.69,0.68,0.69,0.69,0.37,0.38,0.39
C014,2020006407,SC_C_PSKW_Ecowerf,Soilcom,Belgium,com,n,2020,Ecowerf,fvg,fvg,n,0.32,0.140,9.03,2460,21.28495044,1538.02116,0.013839179,48.5,28.37,58.5,41.5,465.8,8.3,0,11.2,5.6,1.27,30.1,24.5,13.26,1.97,27.30,0.75,26.50,13.50,0.47,15.40,32.47,22.80,6.20,122.90,293.20,4.07,3.86,14.00,7.11,44.58,3.28,8.37,3.37,0.16,14.16,55.62,28.22,13.40,33.66,77.90,25.12,40.56,7.61,1.31,0.21,1.74,75.83,0.03,38.50,,0.15,2.48,18.72,80.17,17.86,2.68,0.00,0.12,0.00,1.98,7.17,12.44,17.22,61.05,357.63,,,2.06,2.05,2.05,1.95,2.05,2.05,0.87,0.86,0.87,0.68,0.68,0.70,0.65,0.68,0.70,0.39,0.40,0.40
C015,2020008846,SC_C_PSKW_LOCOfarm2020,Soilcom,Belgium,farm,n,2020,PSKW LOKO,manure,manure,n,0.00,0.000,8.13,1910,1134.704164,60.06218202,18.89215686,49.4,23.71,48,52,353.8,2.4,4,9.4,9.1,1.15,34.5,25.5,16.1,1.90,26.10,0.10,26.00,13.70,1.16,13.70,17.87,12.70,5.80,145.60,496.60,3.06,3.44,20.62,3.10,14.52,2.35,5.44,1.92,0.37,17.77,45.36,44.75,8.56,61.27,55.54,257.27,306.07,83.13,52.89,68.71,0.61,748.33,0.00,1010.21,,0.18,1.99,4.99,73.56,0.00,1.09,0.00,0.00,0.00,4.98,10.86,15.42,19.64,49.10,194.32,,,3.86,3.73,4.11,3.51,3.73,4.11,1.65,1.59,1.66,0.83,0.83,0.78,0.81,0.83,0.78,0.57,0.53,0.55
C016,2020009113,SC_C_ILVO_PHAE1_2020,Soilcom,Belgium,farm,n,2020,PHAE ILVO local composting network,manure,manure,n,,,7.85,2570,,,22.69230769,44.7,22.53,50.4,49.6,,2.7,0,7.6,8.8,1.11,31.2,22.4,14.81,2.13,,,,,,,,,,,377.90,,4.01,23.45,4.18,21.80,3.39,4.71,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C017,2020009114,SC_C_ILVO_PHAE2_2020,Soilcom,Belgium,farm,n,2020,PHAE ILVO local composting network,manure,manure,n,,,8.39,2460,,,11.04494382,53,27.24,51.4,48.6,,4.4,4,9.8,9.8,1.32,34.5,24.7,14.85,2.67,,,,,,,,,,,412.30,,4.79,29.11,4.57,21.11,3.86,3.72,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C018,2020011455,SC_C_ILVO_Bopact2020,Soilcom,Belgium,farm,n,2020,ILVO farm composting,farm_plant,green,n,0.40,0.000,8.2,2333,464.088826,254.3284276,1.824761905,53.8,26.04,48.4,51.6,426.5,2.1,2,13.2,8.7,1.22,39.8,31.1,17.89,2.06,32.20,0.13,32.10,15.60,0.44,8.10,13.85,10.93,4.13,108.18,309.75,2.85,3.45,29.01,4.27,15.23,1.19,4.97,2.37,0.21,16.71,37.62,57.36,3.93,60.08,55.75,143.55,230.17,44.87,27.52,14.52,23.36,478.14,0.06,17.18,1796.00,0.31,1.57,41.51,66.42,4.80,2.77,0.00,3.24,0.00,6.70,16.04,15.84,14.08,44.10,225.13,,,3.03,3.19,3.20,2.86,3.19,3.20,1.55,1.61,1.60,0.68,0.79,0.82,0.67,0.79,0.82,0.55,0.58,0.56
C019,2021002169,SC_C_ILVO_Molenstede1,Soilcom,Belgium,farm,n,2021,Molenstede ILVO local composting network,manure,manure,n,,,9.15,1604,,,,45.7,12.98,28.4,71.6,,9.3,4,7.4,8.1,1.47,26.1,18,10.54,1.97,23.10,0.25,22.85,11.30,,,,,,,,,6.77,24.47,5.14,14.53,1.78,18.27,1.91,0.11,15.49,33.36,52.77,6.29,50.85,57.17,194.39,290.79,43.98,103.58,31.62,15.59,671.16,0.03,37.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C020,2021002170,SC_C_ILVO_Molenstede2_15m,Soilcom,Belgium,farm,n,2021,Molenstede ILVO local composting network,farm_plant,green,n,,,7.99,808,,,,38.7,11.49,29.7,70.3,,4.4,54,6.9,7.1,1.37,24.3,17.1,10.23,1.90,22.20,0.06,22.14,11.40,,,,,,,,,4.03,11.76,3.10,11.06,1.79,13.45,1.82,0.21,13.79,30.45,21.22,5.69,43.44,27.92,191.71,276.16,46.59,101.45,33.06,41.53,687.03,0.07,13.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C021,2021002171,SC_C_ILVO_Molenstede2_15m,Soilcom,Belgium,farm,n,2021,Molenstede ILVO local composting network,manure,manure,n,,,8.69,901,,,,46.7,14.48,31,69,,4.7,6,6.1,6.8,1.05,25.3,18.5,12.32,2.66,24.80,0.13,24.67,9.10,,,,,,,,,5.42,17.91,4.77,13.34,1.36,16.65,1.78,0.14,16.61,33.34,37.82,5.02,60.20,32.73,150.59,284.72,56.45,93.25,41.47,22.71,643.61,0.04,23.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C022,2021002172,SC_C_ILVO_Molenstede3,Soilcom,Belgium,farm,n,2021,Molenstede ILVO local composting network,farm_plant,green,n,,,7.7,127,,,,24.5,9.43,38.5,61.5,,5.7,14,8.3,5.7,1.81,21.6,16,7.75,0.94,23.20,0.02,23.18,24.30,,,,,,,,,2.30,3.43,1.20,7.12,0.31,29.81,3.45,0.09,5.19,27.60,5.41,1.09,40.62,-1.24,91.59,115.17,15.67,38.67,30.67,31.88,340.35,0.11,7.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C023,2021003479,SC_C_HortiA_Klinth_2021,Soilcom,Denmark,com,n,2021,Klintholm,green,green,n,4.57,0.230,8.42,673,214.1250666,< 12.5660250370509,34.08,21.7,13.30,61.3,38.7,649.1,1.9,0,4.8,3,1.21,14.3,11.3,6.44,0.86,13.20,0.24,12.90,15.00,0.27,9.00,17.66,12.60,7.10,75.60,296.80,3.03,1.56,4.37,1.88,18.05,0.34,8.66,4.26,0.18,5.25,41.67,8.02,1.04,27.36,28.80,44.39,75.98,16.56,21.76,14.96,8.98,176.07,0.06,15.83,,0.42,1.23,98.72,50.32,22.10,2.75,0.00,2.30,0.00,5.27,8.34,9.15,13.50,61.45,399.86,,,1.46,1.34,1.43,1.29,1.34,1.43,0.64,0.59,0.65,0.68,0.73,0.68,0.65,0.73,0.68,0.35,0.40,0.37
C024,2021003480,SC_C_PCA_Renewi_2021,Soilcom,Belgium,com,n,2021,Renewi,green,green,n,0.85,0.031,8.75,1164,164.0675014,225.9949407,0.725978648,29.4,21.14,71.9,28.1,518.8,2.5,2,6,3.4,0.85,20.4,17.1,11.03,1.72,21.50,0.27,21.20,12.30,0.30,11.30,26.90,32.20,5.80,120.90,177.70,3.04,2.17,8.05,3.45,21.53,0.59,5.83,3.16,0.09,10.83,46.77,17.94,2.15,41.34,36.44,64.49,120.70,31.56,16.89,2.69,8.21,222.55,0.04,24.61,,0.49,1.19,50.88,66.19,0.00,2.77,0.00,0.00,0.00,1.09,3.73,6.63,10.66,77.88,360.12,,,1.56,1.52,1.57,1.42,1.52,1.57,0.63,0.62,0.65,0.69,0.69,0.70,0.67,0.69,0.70,0.34,0.35,0.35
C025,2021003481,SC_C_Delphy_2021,Soilcom,The Netherlands,com,n,2021,Van Iersel  ,green,green,n,0.55,0.016,8.52,528,20.31021345,< 13.1884502937859,3.08,26.7,16.98,63.6,36.4,596.1,2.4,0,4.7,3.1,0.96,16,12.9,8.15,1.06,16.80,0.08,16.70,15.80,0.38,12.30,18.63,23.80,6.30,95.80,223.80,3.03,1.14,3.61,1.46,10.36,0.32,5.97,3.05,0.15,6.06,34.61,7.65,1.07,33.20,16.34,49.91,55.20,10.34,24.40,10.26,12.86,162.82,0.09,10.07,,0.37,1.35,53.40,64.78,0.00,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C026,2021002294,SC_C_AU_Klintholm,Soilcom,Denmark,com,n,2020,Klintholm,green,green,n,,,8.09,1005,,,11.40789474,21.6,14.19,65.7,34.3,,,,5,3.2,1.11,15.5,12.3,7.38,1.35,17.30,0.38,17.00,12.60,0.29,9.20,20.44,13.50,6.70,91.10,321.40,,1.80,6.11,2.06,24.11,0.41,9.12,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C027,2021002295,SC_C_AU_VanIersel,Soilcom,The Netherlands,com,n,2020,Van Iersel  ,green,green,n,,,8.02,517,,,0.885057471,23.9,14.82,62,38,,,,5,3.1,1.08,15.6,12.5,7.53,0.83,13.40,0.08,13.30,16.00,0.31,9.30,17.36,19.70,4.20,95.10,205.40,,1.05,2.86,1.41,9.52,0.28,4.51,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C028,2021002296,SC_C_AU_IVAREM,Soilcom,Belgium,com,n,2020,Ivarem,green,green,n,,,7.92,1561,,,7.95,34.9,22.20,63.6,36.4,,,,5.7,3.5,0.88,19.7,16.3,10.51,1.61,20.50,0.29,20.30,12.60,0.72,11.70,33.08,37.10,5.80,153.10,200.90,,2.38,12.53,3.89,22.29,0.67,12.08,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C029,2021002297,SC_C_AU_Btzberg,Soilcom,Germany,com,n,2020,Stadtreinigung Hamburg Btzberg,digestate,fvg,n,,,7.95,1424,,,0.354482759,22.5,16.29,72.4,27.6,,,,4.1,3.2,1.26,13.1,9.9,5.8,1.08,13.90,0.16,13.70,12.70,0.36,13.10,41.27,30.50,5.40,138.00,221.50,,2.05,6.54,1.85,13.97,1.37,6.54,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C030,2021002298,SC_C_AU_Aarstiderne,Soilcom,Denmark,farm,n,2020,Aarstiderne,farm_plant,green,n,,,7.91,1158,,,6.237354086,19.1,13.08,68.5,31.5,,,,5.8,5.5,2.46,16,10.4,4.6,0.96,10.80,0.02,10.80,11.20,0.24,7.70,9.00,8.10,3.80,43.50,216.90,,1.92,7.60,1.61,5.94,0.30,7.19,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C031,2021005450,SC_C_PCS_Orgapower_2021,Soilcom,The Netherlands,com,n,2021,van Berkel Veldhoven,green,green,n,,,7.7,730,,,3.56,22.8,18.81,82.5,17.5,,,,4.5,3.3,0.91,16.4,13.1,8.6,1.05,,,,,0.40,10.20,18.12,19.30,5.10,92.30,235.30,,1.20,3.51,1.56,10.35,0.36,4.83,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C032,2021005451,SC_C_PCS_Klintholm_2021,Soilcom,Germany,com,n,2021,Klintholm,green,green,n,,,8.07,574,,,30.4,20.8,13.00,62.5,37.5,,,,4.2,3.6,1.11,14.8,11.3,7,1.30,,,,,0.41,9.50,19.48,13.10,7.50,72.50,325.50,,1.48,4.01,1.93,18.89,0.30,9.91,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C033,2021005452,SC_C_PCS_Zwarte Specht_2021,Soilcom,Belgium,com,n,2021,Acterra,manure,manure,n,,,8.81,1097,,,2.22754491,71.2,23.42,32.9,67.1,,,,28.6,11.2,2.14,58.5,47.3,18.6,1.13,,,,,0.42,4.80,15.76,5.80,4.00,72.10,192.60,,2.83,14.41,2.59,11.61,2.44,2.67,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C034,2021005453,SC_C_PCS_IVAREM_2021,Soilcom,Belgium,com,n,2021,Ivarem,green,green,n,,,8.3,1229,,,17.84,35,20.55,58.7,41.3,,,,7.1,3.9,0.72,26.4,22.4,15.3,1.49,,,,,0.59,11.40,29.80,43.20,5.40,166.20,196.50,,2.27,9.96,3.48,17.18,0.48,7.09,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C035,2021005454,SC_C_PCS_Btzberg_2021,Soilcom,Germany,com,n,2021,Stadtreinigung Hamburg Btzberg,digestate,fvg,n,,,8.59,1086,,,4.92,40.3,21.12,52.4,47.6,,,,7.4,6.7,0.93,29.1,22.5,15.1,2.02,,,,,0.38,8.90,40.95,23.00,5.50,130.00,290.90,,2.46,9.46,2.36,24.91,1.74,5.04,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C036,,KW_20_577,Advice_ILVO,Belgium,farm,y,2020,Bart Geeraerts,beam,manure,n,,,8.51,1286,,,102.36,57.3,16.33,28.5,71.5,,2.3,,,,,,,,1.99,,,,,,,,,,,,,4.14,19.30,6.45,44.45,0.58,4.45,1.77,0.07,24.58,89.58,36.83,1.66,95.55,57.17,186.89,169.06,19.40,88.73,76.24,40.69,621.93,0.08,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C037,,KW_20_578,Advice_ILVO,Belgium,farm,y,2020,Bart Geeraerts,beam,manure,n,,,8.61,1241,,,101,55.9,14.53,26,74,,2.2,,,,,,,,2.13,,,,,,,,,,,,,4.56,23.16,6.49,46.97,0.53,3.98,1.60,0.07,24.60,90.26,45.16,1.58,94.21,67.46,236.05,141.30,38.73,96.25,106.27,30.30,694.52,0.06,15.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C038,,KW_20_579,Advice_ILVO,Belgium,farm,n,2020,Brecht Goussey,manure,manure,n,,,7.53,885,,,2.395427034,40.8,14.97,36.7,63.3,,3.1,,,,,,,,1.93,,,,,,,,,,,,,3.19,3.51,9.55,52.47,0.22,8.42,3.02,0.20,15.13,84.61,6.11,0.38,67.93,38.50,155.75,211.50,33.02,63.47,37.90,18.02,535.32,0.04,23.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
